"Company Name","Company Domain","Users","Sessions","Views"
"AAF International","aafintl.com","1","1","1"
"ADM","adm.com","1","1","1"
"ATD Tools, Inc.","atdtools.com","1","1","1"
"AbbVie Inc","abbvie.com","1","1","2"
"Abbott","abbott.com","3","3","3"
"AboutHealth","abouthealth.com","1","1","1"
"Acuity Brands, Inc","acuitybrands.com","1","1","1"
"Advocate Health Care","advocatehealth.com","2","2","4"
"Ananda Group","anandagroup.com","1","1","1"
"Angels Grace Hospice","angelsgracehospice.com","1","1","3"
"Apple Inc.","apple.com","1","1","3"
"Armstrong Fluid Technology","armstrongfluidtechnology.com","1","1","2"
"Atlas Electric Inc.","atlaselectric.net","1","1","1"
"BP p.l.c.","bp.com","1","1","1"
"Barrington Orthopedic Specialists","barringtonortho.com","2","3","5"
"BioPlus Specialty Pharmacy","bioplusrx.com","1","1","1"
"Boeing","boeing.com","2","2","3"
"Bronson Healthcare","bronsonhealth.com","1","1","2"
"CHOICES Behavioral Health Care","choicesbhc.com","1","1","1"
"COACH","coach.com","1","1","1"
"CVS Health","cvshealth.com","1","1","5"
"Camco Manufacturing Inc.","camco.net","2","2","2"
"Cargill","cargill.com","1","1","1"
"Caterpillar","caterpillar.com","9","10","16"
"Catholic Health","catholichealthli.org","1","1","1"
"Children's Health Council","chconline.org","1","1","1"
"Children's Healthcare of Atlanta","choa.org","1","1","1"
"ChristianaCare","christianacare.org","2","3","3"
"Clarios","clarios.com","1","1","1"
"Cognex Corporation","cognex.com","3","3","3"
"Collins Aerospace","collinsaerospace.com","1","1","1"
"Community Health Systems","chs.net","1","2","5"
"Convergent Dental","convergentdental.com","1","2","2"
"Copal Acupuncture & Herbal Medicine","copalacupuncture.com","1","1","1"
"Crane ChemPharma & Energy","cranecpe.com","1","1","2"
"Crate and Barrel","crateandbarrel.com","1","1","4"
"Crocs","crocs.com","4","4","4"
"Crown Holdings, Inc","crowncork.com","1","1","1"
"Dave & Adam's Card World LLC","dacardworld.com","1","1","1"
"Donaldson Company, Inc","donaldson.com","3","6","12"
"Dr. Reddy's Laboratories","drreddys.com","2","2","2"
"Draper","draper.com","1","1","1"
"Edwards Lifesciences Corporation","edwards.com","1","2","2"
"Embedded360","embedded360.com","1","1","4"
"Embraco","embraco.com","1","1","1"
"Etsy","etsy.com","1","3","3"
"EyeBuyDirect","eyebuydirect.com","1","1","2"
"Fesco Emergency Sales","fescosales.com","1","1","1"
"Flowers Foods","flowersfoods.com","1","1","1"
"GE Appliances","geappliances.com","1","1","1"
"GE Healthcare","gehealthcare.com","4","5","11"
"Garware Fulflex Usa Inc","fulflex.com","1","1","1"
"General Dynamics Mission Systems, Inc.","gdmissionsystems.com","1","1","1"
"Giesecke & Devrient America, Inc","gi-de.com","1","1","3"
"Gold Eagle Company","goldeagle.com","1","2","2"
"Guardian Harvest, Inc","guardianharvest.com","1","1","1"
"H-E-B","heb.com","1","1","1"
