"Company Name","Company Domain","Users","Sessions","Views"
"APPLIED INDUSTRIAL TECH INC.","yelvington.com","1","1","2"
"AbbVie Inc","abbvie.com","1","1","1"
"Apple Inc.","apple.com","2","6","15"
"AtlantiCare","atlanticare.org","1","1","1"
"Axalta","axalta.com","1","1","2"
"Barrington Orthopedic Specialists","barringtonortho.com","1","1","1"
"Boehringer Ingelheim International GmbH","boehringer-ingelheim.com","1","1","1"
"Boeing","boeing.com","2","3","3"
"Bright Light Medical Imaging","brightlightimaging.com","1","2","2"
"Bristol Myers Squibb","bms.com","2","2","3"
"Bushwhacker Limited","bushwhacker.com","1","1","1"
"CHRISTUS Health","christushealth.org","1","1","1"
"CSL","csl.com","1","1","1"
"CVS Health","cvshealth.com","1","1","1"
"Cargill","cargill.com","1","1","1"
"Carle Health","carle.org","1","1","2"
"Carolina Cat","carolinacat.com","1","1","1"
"Carter Machinery","cartermachinery.com","2","2","8"
"Caterpillar","caterpillar.com","8","12","18"
"Center for Strategic and International Studies (CSIS)","csis.org","1","1","1"
"Charles Barker Lexus","charlesbarker.com","1","1","1"
"ChemTreat, Inc","chemtreat.com","1","1","1"
"Children's Home Association of Illinois","chail.org","1","1","3"
"ChristianaCare","christianacare.org","1","1","1"
"Civic Merchandising Inc","civicmdsg.com.ph","1","1","1"
"Clarage","clarage.com","1","1","1"
"Cognex Corporation","cognex.com","1","1","1"
"Colgate-Palmolive Company","colgatepalmolive.com","1","1","1"
"Community Health Systems","chs.net","1","1","1"
"Comprehensive Prosthetics & Orthotics (CPO)","cpousa.com","1","2","5"
"Cone Health","conehealth.com","1","1","1"
"Cummins Inc.","cummins.com","1","1","1"
"Daimler Truck Holding","daimlertruck.com","1","1","3"
"Dana Limited","dana.com","1","1","1"
"Designer Greetings","designergreetings.com","1","1","1"
"DirecTV","directv.com","1","1","1"
"Douglas Dynamics, Inc.","douglasdynamics.com","1","1","1"
"Element Solutions Inc","elementsolutionsinc.com","1","1","3"
"Elevance Health","elevancehealth.com","1","1","1"
"Ferrero Asia Limited","ferrero.com","1","1","2"
"Fresenius Medical Care","freseniusmedicalcare.com","1","1","1"
"Friends Association","friendsassoc.org","1","1","1"
"GE Healthcare","gehealthcare.com","1","1","1"
"General Electric","ge.com","3","3","4"
"General Mills Inc","generalmills.com","6","11","17"
"General Motors","gm.com","1","2","2"
"HCA Healthcare","hcahealthcare.com","1","1","4"
"Heartland Health Services- Central Illinois","hhsil.com","1","1","4"
"Home Helpers Home Care","homehelpershomecare.com","1","1","5"
"Honeywell","honeywell.com","2","2","2"
"Horizon Commercial Pool Supply","horizonpoolsupply.com","1","4","5"
"International","international.com","2","2","3"
"Inteva Products","intevaproducts.com","1","1","1"
"Johnson Controls","johnsoncontrols.com","1","1","1"
"KC Industries","kcindustries.com","1","1","1"
"Kennell And Associates, Inc","kennellinc.com","1","1","3"
"Lam Research Corporation","lamresearch.com","1","1","1"
"Lennox International Inc","lennox.com","1","2","3"
"MD Anderson Cancer Center","mdanderson.org","1","2","2"
"MES, Inc.","mesinc.net","1","1","5"
"Mars","mars.com","1","1","1"
"Mary Washington Healthcare","marywashingtonhealthcare.com","1","1","1"
"Mcmullen-Niemann & Associates","mn-a.net","1","1","1"
"Medtronic","medtronic.com","2","2","2"
"Moffitt Cancer Center","moffitt.org","1","1","1"
"Mr Price Group","mrpricegroup.com","1","1","1"
"NATIONAL FEDERATION OF INDEPENDENT BUSIN","nfib.org","1","1","1"
"Nestle","nestle.com","1","1","3"
"NewYork-Presbyterian Hospital","nyp.org","1","1","1"
"OPEX Corporation","opex.com","2","2","3"
"OSF Healthcare System","osfhealthcare.org","6","6","14"
"Oshkosh","oshkoshcorp.com","1","1","2"
"Palos Health","paloshealth.com","1","1","1"
"Parker-Hannifin Corp","parker.com","1","1","1"
"Pfizer Inc","pfizer.com","2","1","2"
"Piedmont Plastics","piedmontplastics.com","1","1","2"
"Pine Rest Christian Mental Health Services","pinerest.org","1","1","3"
"Procter & Gamble","pg.com","1","1","1"
"RML Specialty Hospital","rmlspecialtyhospital.org","1","1","1"
"Radiology Partners","radpartners.com","1","1","3"
"Regal Heights Rehabilitation And Health Care Center","rhrhcenter.com","1","1","1"
"Rousso Apparel Group Inc.","roussony.com","1","1","2"
"SCA Health","sca.health","1","1","1"
"SI-BONE","si-bone.com","1","1","2"
"SYNEO","syneoco.com","1","1","1"
"Sears Ecological Applictns","seaco.com","1","1","1"
"Selds, Inc.","selds.com","1","1","1"
"Southeastern Grocers","segrocers.com","1","1","1"
"Steelscape","steelscape.com","5","6","10"
"Stepan Company","stepan.com","3","8","9"
"TMA.org","tma.org","1","1","1"
"Target Brands, Inc","target.com","2","2","5"
"Texas Children's Hospital","texaschildrens.org","2","2","2"
"Texas Instruments","ti.com","1","1","1"
"The Lebermuth Company","lebermuth.com","1","1","2"
"The Lubrizol Corporation","lubrizol.com","1","2","9"
"The TJX Companies, Inc","tjx.com","1","1","1"
"The Wheel Group","thewheelgroup.com","1","1","1"
"Trimble Inc","trimble.com","1","1","3"
"United HealthCare Services, Inc.","uhc.com","3","3","3"
"VF","vfc.com","1","1","1"
"Valley Offset Printing, Inc","valleyoffset.com","1","1","1"
"Walgreen Co","walgreens.com","1","1","1"
"Walmart","walmart.com","1","1","1"
"Wausau Coated Products, Inc","wausaucoated.com","1","1","1"
"Zimt Tech","zimttech.org","1","1","1"
